restaurant name,address,location,number of michelin-starred restaurants
"
            
                Liu Yuan Pavilion
            
        ","54-62 Lockhart Road, Hong Kong","Central, Hong Kong",28
"
            
                Vea
            
        ","198 Wellington Street, Hong Kong","Sheung Wan, Hong Kong",3
"
            
                Pang's Kitchen
            
        ","25 Yik Yam Street, Hong Kong","Wan Chai, Hong Kong",10
"
            
                New Punjab Club
            
        ","34 Wyndham Street, Hong Kong","Admiralty, Hong Kong",3
"
            
                Summer Palace
            
        ","Supreme Court Road, Hong Kong","Causeway Bay, Hong Kong",2
"
            
                Bo Innovation
            
        ","60 Johnston Road, Hong Kong","Tsim Sha Tsui, Hong Kong",12
"
            
                Ryota Kappou Modern
            
        ","18 On Lan Street, Hong Kong","Sham Shui Po, Hong Kong",1
"
            
                8 1/2 Otto e Mezzo - Bombana
            
        ","18 Chater Road, Hong Kong","Kwun Tong, Hong Kong",1
"
            
                Imperial Treasure Fine Chinese Cuisine (Tsim Sha Tsui)
            
        ","1 Peking Road, Hong Kong","Mong Kok, Hong. Kong",1
"
            
                And_
            
        ","52-54 Wellington Street, Hong Kong","Austin, Hong Kong",2
"
            
                Man Ho (Admiralty)
            
        ","88 Queensway, Hong Kong","Yau Ma Tei, Hong Kong",1
"
            
                Louise
            
        ","35 Aberdeen Street, Hong Kong","Happy Valley, Hong Kong",1
"
            
                Yardbird
            
        ","154-158 Wing Lok Street, Hong Kong","Sai Kung, Hong Kong",1
"
            
                Sushi Shikon
            
        ","15 Queen's Road Central, Hong Kong",,
"
            
                Arcane
            
        ","18 On Lan Street, Hong Kong",,
"
            
                Petrus
            
        ","Supreme Court Road, Hong Kong",,
"
            
                Ah Yat Harbour View
            
        ","63 Nathan Road, Hong Kong",,
"
            
                Xin Rong Ji
            
        ","139 Lockhart Road, Hong Kong",,
"
            
                _criture
            
        ","80 Queen's Road Central, Hong Kong",,
"
            
                Octavium
            
        ","22 Des Voeux Road Central, Hong Kong",,
"
            
                Loaf On
            
        ","49 See Cheung Street, Hong Kong",,
"
            
                Ying Jee Club
            
        ","41 Connaught Road Central, Hong Kong",,
"
            
                Forum
            
        ","255-257 Gloucester Road, Hong Kong",,
"
            
                Amber
            
        ","15 Queen's Road Central, Hong Kong",,
"
            
                Sushi Saito
            
        ","8 Finance Street, Hong Kong",,
"
            
                Roganic
            
        ","255 Gloucester Road, Hong Kong",,
"
            
                Kam's Roast Goose
            
        ","226 Hennessy Road, Hong Kong",,
"
            
                Yat Lok
            
        ","34-38 Stanley Street, Hong Kong",,
"
            
                Takumi by Daisuke Mori
            
        ","16 Wood Road, Hong Kong",,
"
            
                The Chairman
            
        ","18 Kau U Fong, Hong Kong",,
"
            
                Jardin de Jade (Wan Chai)
            
        ","30 Harbour Road, Hong Kong",,
"
            
                Tate
            
        ","210 Hollywood Road, Hong Kong",,
"
            
                Y_ Shanghai (Tsim Sha Tsui)
            
        ","18 Salisbury Road, Hong Kong",,
"
            
                Zest by Konishi
            
        ","18 On Lan Street, Hong Kong",,
"
            
                Ta Vie
            
        ","74 Queen's Road, Hong Kong",,
"
            
                Ho Hung Kee (Causeway Bay)
            
        ","500 Hennessy Road, Hong Kong",,
"
            
                Fu Ho
            
        ","132 Nathan Road, Hong Kong",,
"
            
                Tim Ho Wan (Sham Shui Po)
            
        ","9-11 Fuk Wing Street, Hong Kong",,
"
            
                Aaharn
            
        ","10 Hollywood Road, Hong Kong",,
"
            
                The Araki
            
        ","2A Canton Road, Hong Kong",,
"
            
                L'Atelier de Jo_l Robuchon
            
        ","15 Queen's Road Central, Hong Kong",,
"
            
                Zuicho
            
        ","29 Jervois Street, Hong Kong",,
"
            
                Duddell's
            
        ","1 Duddell Street, Hong Kong",,
"
            
                _pure
            
        ","3-27 Canton Road, Hong Kong",,
"
            
                Man Wah
            
        ","5 Connaught Road Central, Hong Kong",,
"
            
                R_n
            
        ","1 Harbour Drive, Hong Kong",,
"
            
                L'Envol
            
        ","1 Harbour Drive, Hong Kong",,
"
            
                Ming Court (Mong Kok)
            
        ","555 Shanghai Street, Hong Kong",,
"
            
                Shang Palace
            
        ","64 Mody Road, Hong Kong",,
"
            
                T'ang Court
            
        ","8 Peking Road, Hong Kong",,
"
            
                Spring Moon
            
        ","Salisbury Road, Hong Kong",,
"
            
                Caprice
            
        ","8 Finance Street, Hong Kong",,
"
            
                Sun Tung Lok
            
        ","132 Nathan Road, Hong Kong",,
"
            
                Mandarin Grill + Bar
            
        ","5 Connaught Road Central, Hong Kong",,
"
            
                Tin Lung Heen
            
        ","1 Austin Road West, Hong Kong",,
"
            
                Fook Lam Moon (Wan Chai)
            
        ","35-45 Johnston Road, Hong Kong",,
"
            
                Lei Garden (Kwun Tong)
            
        ","418 Kwun Tong Road, Hong Kong",,
"
            
                Yan Toh Heen
            
        ","18 Salisbury Road, Hong Kong",,
"
            
                Beefbar
            
        ","16 Ice House Street, Hong Kong",,
"
            
                Tosca di Angelo
            
        ","1 Austin Road West, Hong Kong",,
"
            
                Zhejiang Heen
            
        ","300-306 Lockhart Road, Hong Kong",,
"
            
                Celebrity Cuisine
            
        ","3 Kau U Fong, Hong Kong",,
"
            
                Lung King Heen
            
        ","8 Finance Street, Hong Kong",,
"
            
                Gaddi's
            
        ","Salisbury Road, Hong Kong",,
"
            
                Arbor
            
        ","80 Queen's Road Central, Hong Kong",,
"
            
                Yat Tung Heen
            
        ","380 Nathan Road, Hong Kong",,
